outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,ŘO,mental_age,-6.80 (1.91),-3.559,< .001,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,ŘO,MR:mental_age,4.49 (2.56),1.757,.085,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POČ,(Intercept),136.91 (45.14),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POČ,MR,-82.54 (60.56),-1.363,.179,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POČ,mental_age,-12.50 (5.77),-2.167,.035,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POČ,MR:mental_age,8.37 (7.77),1.078,.286,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOS,(Intercept),117.81 (32.77),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOS,MR,-63.10 (39.50),-1.598,.116,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOS,mental_age,-10.67 (4.25),-2.512,.015,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,KOS,MR:mental_age,6.21 (5.18),1.199,.236,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,SLO,(Intercept),152.01 (35.28),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,SLO,MR,-116.23 (49.74),-2.337,.023,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,SLO,mental_age,-14.59 (4.38),-3.333,.002,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,SLO,MR:mental_age,12.94 (6.18),2.094,.041,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POR,(Intercept),102.54 (24.31),,,,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POR,MR,-83.96 (32.41),-2.591,.012,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POR,mental_age,-8.78 (2.95),-2.983,.004,*,
X16_zrakove_motoricka_presnost_chyba_vyjeti_sum,POR,MR:mental_age,9.31 (3.95),2.354,.022,*,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,DO,(Intercept),11.33 (6.05),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,DO,MR,-4.27 (8.17),-0.522,.604,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,DO,mental_age,-0.69 (0.72),-0.951,.346,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,DO,MR:mental_age,0.52 (0.98),0.531,.598,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,VE,(Intercept),12.98 (8.12),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,VE,MR,-21.32 (11.52),-1.852,.070,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,VE,mental_age,-0.97 (0.94),-1.036,.305,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,VE,MR:mental_age,2.61 (1.33),1.962,.055,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOD,(Intercept),9.62 (4.96),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOD,MR,-8.04 (6.48),-1.241,.220,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOD,mental_age,-0.29 (0.59),-0.488,.627,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOD,MR:mental_age,0.82 (0.78),1.054,.297,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,PO,(Intercept),16.95 (6.97),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,PO,MR,-16.53 (9.65),-1.713,.093,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,PO,mental_age,-1.31 (0.81),-1.615,.112,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,PO,MR:mental_age,1.94 (1.12),1.724,.091,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,ŘO,(Intercept),14.30 (4.58),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,ŘO,MR,-6.69 (6.07),-1.103,.275,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,ŘO,mental_age,-0.80 (0.49),-1.644,.106,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,ŘO,MR:mental_age,0.58 (0.65),0.894,.375,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POČ,(Intercept),19.99 (10.26),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POČ,MR,-17.47 (13.76),-1.269,.210,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POČ,mental_age,-1.69 (1.31),-1.292,.202,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POČ,MR:mental_age,2.11 (1.77),1.195,.237,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOS,(Intercept),18.36 (7.42),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOS,MR,-12.42 (8.95),-1.389,.171,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOS,mental_age,-1.56 (0.96),-1.623,.111,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,KOS,MR:mental_age,1.53 (1.17),1.304,.198,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,SLO,(Intercept),12.42 (7.68),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,SLO,MR,-8.94 (10.83),-0.826,.413,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,SLO,mental_age,-0.74 (0.95),-0.777,.440,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,SLO,MR:mental_age,1.02 (1.34),0.760,.450,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POR,(Intercept),16.10 (5.64),,,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POR,MR,-5.00 (7.53),-0.665,.509,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POR,mental_age,-1.11 (0.68),-1.617,.112,,
X16_zrakove_motoricka_presnost_chyba_preruseni_linky,POR,MR:mental_age,0.42 (0.92),0.458,.649,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,DO,(Intercept),0.67 (0.74),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,DO,MR,-1.80 (1.00),-1.802,.078,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,DO,mental_age,-0.05 (0.09),-0.559,.578,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,DO,MR:mental_age,0.23 (0.12),1.954,.056,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,VE,(Intercept),1.69 (1.22),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,VE,MR,-2.99 (1.73),-1.723,.091,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,VE,mental_age,-0.17 (0.14),-1.182,.242,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,VE,MR:mental_age,0.36 (0.20),1.796,.078,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOD,(Intercept),0.37 (0.64),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOD,MR,-0.10 (0.83),-0.120,.905,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOD,mental_age,-0.01 (0.08),-0.081,.936,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOD,MR:mental_age,0.02 (0.10),0.172,.864,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,PO,(Intercept),0.55 (0.72),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,PO,MR,0.04 (1.00),0.038,.969,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,PO,mental_age,-0.05 (0.08),-0.620,.538,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,PO,MR:mental_age,0.02 (0.12),0.210,.834,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,ŘO,(Intercept),0.66 (0.53),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,ŘO,MR,-0.70 (0.70),-1.001,.321,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,ŘO,mental_age,-0.05 (0.06),-0.881,.383,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,ŘO,MR:mental_age,0.10 (0.08),1.273,.209,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POČ,(Intercept),0.73 (1.29),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POČ,MR,-0.39 (1.73),-0.224,.823,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POČ,mental_age,-0.05 (0.16),-0.284,.777,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POČ,MR:mental_age,0.05 (0.22),0.218,.829,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOS,(Intercept),-0.26 (0.97),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOS,MR,-0.24 (1.17),-0.201,.841,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOS,mental_age,0.08 (0.13),0.611,.544,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,KOS,MR:mental_age,0.04 (0.15),0.275,.785,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,SLO,(Intercept),0.70 (1.00),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,SLO,MR,-0.30 (1.40),-0.212,.833,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,SLO,mental_age,-0.05 (0.12),-0.412,.682,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,SLO,MR:mental_age,0.05 (0.17),0.260,.796,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POR,(Intercept),0.43 (0.76),,,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POR,MR,0.25 (1.01),0.242,.809,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POR,mental_age,-0.00 (0.09),-0.048,.962,,
X16_zrakove_motoricka_presnost_chyba_otoceni_papiru,POR,MR:mental_age,-0.04 (0.12),-0.291,.772,,
X16_zrakove_motoricka_presnost_cas_adm_sek,DO,(Intercept),108.25 (49.17),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,DO,MR,-21.65 (67.21),-0.322,.749,,
X16_zrakove_motoricka_presnost_cas_adm_sek,DO,mental_age,3.01 (5.89),0.511,.611,,
X16_zrakove_motoricka_presnost_cas_adm_sek,DO,MR:mental_age,0.47 (8.14),0.058,.954,,
X16_zrakove_motoricka_presnost_cas_adm_sek,VE,(Intercept),127.55 (64.97),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,VE,MR,-80.51 (92.40),-0.871,.388,,
X16_zrakove_motoricka_presnost_cas_adm_sek,VE,mental_age,-0.14 (7.51),-0.019,.985,,
X16_zrakove_motoricka_presnost_cas_adm_sek,VE,MR:mental_age,7.97 (10.67),0.746,.459,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOD,(Intercept),147.97 (40.70),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOD,MR,-49.29 (53.23),-0.926,.359,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOD,mental_age,-0.96 (4.83),-0.198,.844,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOD,MR:mental_age,2.96 (6.39),0.463,.645,,
X16_zrakove_motoricka_presnost_cas_adm_sek,PO,(Intercept),168.20 (57.50),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,PO,MR,-116.32 (79.65),-1.460,.150,,
X16_zrakove_motoricka_presnost_cas_adm_sek,PO,mental_age,-5.23 (6.69),-0.782,.438,,
X16_zrakove_motoricka_presnost_cas_adm_sek,PO,MR:mental_age,12.64 (9.27),1.363,.179,,
X16_zrakove_motoricka_presnost_cas_adm_sek,ŘO,(Intercept),174.69 (30.68),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,ŘO,MR,-69.64 (40.69),-1.712,.093,,
X16_zrakove_motoricka_presnost_cas_adm_sek,ŘO,mental_age,-5.13 (3.26),-1.574,.122,,
X16_zrakove_motoricka_presnost_cas_adm_sek,ŘO,MR:mental_age,6.19 (4.36),1.420,.162,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POČ,(Intercept),264.24 (75.76),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POČ,MR,-206.18 (102.22),-2.017,.049,*,
X16_zrakove_motoricka_presnost_cas_adm_sek,POČ,mental_age,-17.29 (9.68),-1.786,.080,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POČ,MR:mental_age,24.66 (13.14),1.876,.066,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOS,(Intercept),223.01 (52.07),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOS,MR,-167.14 (62.88),-2.658,.010,*,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOS,mental_age,-13.00 (6.75),-1.928,.059,,
X16_zrakove_motoricka_presnost_cas_adm_sek,KOS,MR:mental_age,21.19 (8.27),2.564,.013,*,
X16_zrakove_motoricka_presnost_cas_adm_sek,SLO,(Intercept),188.85 (60.17),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,SLO,MR,-98.20 (85.24),-1.152,.255,,
X16_zrakove_motoricka_presnost_cas_adm_sek,SLO,mental_age,-7.75 (7.46),-1.039,.304,,
X16_zrakove_motoricka_presnost_cas_adm_sek,SLO,MR:mental_age,10.75 (10.62),1.012,.316,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POR,(Intercept),169.48 (42.56),,,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POR,MR,-53.82 (56.94),-0.945,.349,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POR,mental_age,-4.93 (5.16),-0.955,.344,,
X16_zrakove_motoricka_presnost_cas_adm_sek,POR,MR:mental_age,4.74 (6.97),0.680,.500,,
X17_zrakove_vnimani_sum_spravne,DO,(Intercept),9.93 (2.23),,,,
X17_zrakove_vnimani_sum_spravne,DO,MR,2.84 (3.01),0.944,.349,,
X17_zrakove_vnimani_sum_spravne,DO,mental_age,0.72 (0.27),2.709,.009,*,
X17_zrakove_vnimani_sum_spravne,DO,MR:mental_age,-0.36 (0.36),-0.999,.323,,
X17_zrakove_vnimani_sum_spravne,VE,(Intercept),13.09 (3.14),,,,
X17_zrakove_vnimani_sum_spravne,VE,MR,-5.26 (4.46),-1.180,.243,,
X17_zrakove_vnimani_sum_spravne,VE,mental_age,0.41 (0.36),1.118,.269,,
X17_zrakove_vnimani_sum_spravne,VE,MR:mental_age,0.51 (0.52),0.990,.327,,
X17_zrakove_vnimani_sum_spravne,KOD,(Intercept),11.36 (1.88),,,,
X17_zrakove_vnimani_sum_spravne,KOD,MR,2.37 (2.46),0.965,.339,,
X17_zrakove_vnimani_sum_spravne,KOD,mental_age,0.57 (0.22),2.540,.014,*,
X17_zrakove_vnimani_sum_spravne,KOD,MR:mental_age,-0.32 (0.30),-1.069,.290,,
X17_zrakove_vnimani_sum_spravne,PO,(Intercept),13.64 (2.45),,,,
X17_zrakove_vnimani_sum_spravne,PO,MR,-1.14 (3.39),-0.336,.738,,
X17_zrakove_vnimani_sum_spravne,PO,mental_age,0.40 (0.29),1.394,.169,,
X17_zrakove_vnimani_sum_spravne,PO,MR:mental_age,-0.02 (0.40),-0.050,.960,,
X17_zrakove_vnimani_sum_spravne,ŘO,(Intercept),11.36 (1.50),,,,
X17_zrakove_vnimani_sum_spravne,ŘO,MR,-0.05 (1.99),-0.027,.979,,
X17_zrakove_vnimani_sum_spravne,ŘO,mental_age,0.50 (0.16),3.117,.003,*,
X17_zrakove_vnimani_sum_spravne,ŘO,MR:mental_age,0.01 (0.21),0.038,.970,,
X17_zrakove_vnimani_sum_spravne,POČ,(Intercept),13.90 (3.42),,,,
X17_zrakove_vnimani_sum_spravne,POČ,MR,-0.73 (4.59),-0.160,.874,,
X17_zrakove_vnimani_sum_spravne,POČ,mental_age,0.41 (0.44),0.936,.353,,
X17_zrakove_vnimani_sum_spravne,POČ,MR:mental_age,-0.08 (0.59),-0.139,.890,,
X17_zrakove_vnimani_sum_spravne,KOS,(Intercept),13.72 (2.90),,,,
X17_zrakove_vnimani_sum_spravne,KOS,MR,-1.37 (3.49),-0.392,.696,,
X17_zrakove_vnimani_sum_spravne,KOS,mental_age,0.24 (0.38),0.649,.519,,
X17_zrakove_vnimani_sum_spravne,KOS,MR:mental_age,0.22 (0.46),0.480,.633,,
X17_zrakove_vnimani_sum_spravne,SLO,(Intercept),12.82 (2.91),,,,
X17_zrakove_vnimani_sum_spravne,SLO,MR,2.94 (4.10),0.717,.476,,
X17_zrakove_vnimani_sum_spravne,SLO,mental_age,0.38 (0.36),1.059,.294,,
X17_zrakove_vnimani_sum_spravne,SLO,MR:mental_age,-0.39 (0.51),-0.771,.444,,
X17_zrakove_vnimani_sum_spravne,POR,(Intercept),12.54 (2.18),,,,
X17_zrakove_vnimani_sum_spravne,POR,MR,4.81 (2.90),1.657,.103,,
X17_zrakove_vnimani_sum_spravne,POR,mental_age,0.39 (0.26),1.468,.148,,
X17_zrakove_vnimani_sum_spravne,POR,MR:mental_age,-0.60 (0.35),-1.693,.096,,
X17_zrakove_vnimani_cas_adm_sek,DO,(Intercept),243.39 (44.14),,,,
X17_zrakove_vnimani_cas_adm_sek,DO,MR,-87.13 (59.64),-1.461,.150,,
X17_zrakove_vnimani_cas_adm_sek,DO,mental_age,-8.34 (5.29),-1.577,.121,,
X17_zrakove_vnimani_cas_adm_sek,DO,MR:mental_age,4.99 (7.17),0.696,.489,,
X17_zrakove_vnimani_cas_adm_sek,VE,(Intercept),137.83 (64.05),,,,
X17_zrakove_vnimani_cas_adm_sek,VE,MR,24.55 (90.89),0.270,.788,,
X17_zrakove_vnimani_cas_adm_sek,VE,mental_age,2.54 (7.40),0.343,.733,,
X17_zrakove_vnimani_cas_adm_sek,VE,MR:mental_age,-6.39 (10.51),-0.608,.546,,
X17_zrakove_vnimani_cas_adm_sek,KOD,(Intercept),265.55 (35.15),,,,
X17_zrakove_vnimani_cas_adm_sek,KOD,MR,-117.74 (45.94),-2.563,.013,*,
X17_zrakove_vnimani_cas_adm_sek,KOD,mental_age,-11.44 (4.17),-2.745,.008,*,
X17_zrakove_vnimani_cas_adm_sek,KOD,MR:mental_age,9.06 (5.52),1.642,.107,,
X17_zrakove_vnimani_cas_adm_sek,PO,(Intercept),247.04 (49.24),,,,
X17_zrakove_vnimani_cas_adm_sek,PO,MR,-164.68 (68.20),-2.415,.019,*,
X17_zrakove_vnimani_cas_adm_sek,PO,mental_age,-8.65 (5.73),-1.509,.137,,
X17_zrakove_vnimani_cas_adm_sek,PO,MR:mental_age,14.23 (7.94),1.792,.079,,
X17_zrakove_vnimani_cas_adm_sek,ŘO,(Intercept),292.36 (23.18),,,,
X17_zrakove_vnimani_cas_adm_sek,ŘO,MR,-173.50 (30.72),-5.648,< .001,*,*
X17_zrakove_vnimani_cas_adm_sek,ŘO,mental_age,-14.14 (2.46),-5.748,< .001,*,*
X17_zrakove_vnimani_cas_adm_sek,ŘO,MR:mental_age,15.35 (3.29),4.666,< .001,*,*
X17_zrakove_vnimani_cas_adm_sek,POČ,(Intercept),296.87 (55.38),,,,
X17_zrakove_vnimani_cas_adm_sek,POČ,MR,-181.95 (74.30),-2.449,.018,*,
X17_zrakove_vnimani_cas_adm_sek,POČ,mental_age,-14.96 (7.08),-2.113,.039,*,
X17_zrakove_vnimani_cas_adm_sek,POČ,MR:mental_age,16.84 (9.53),1.768,.083,,
X17_zrakove_vnimani_cas_adm_sek,KOS,(Intercept),311.27 (45.46),,,,
X17_zrakove_vnimani_cas_adm_sek,KOS,MR,-166.81 (54.79),-3.045,.004,*,
X17_zrakove_vnimani_cas_adm_sek,KOS,mental_age,-18.59 (5.89),-3.157,.003,*,
X17_zrakove_vnimani_cas_adm_sek,KOS,MR:mental_age,16.49 (7.18),2.296,.026,*,
X17_zrakove_vnimani_cas_adm_sek,SLO,(Intercept),295.74 (51.13),,,,
X17_zrakove_vnimani_cas_adm_sek,SLO,MR,-192.38 (72.08),-2.669,.010,*,
X17_zrakove_vnimani_cas_adm_sek,SLO,mental_age,-16.05 (6.34),-2.530,.014,*,
X17_zrakove_vnimani_cas_adm_sek,SLO,MR:mental_age,19.33 (8.95),2.159,.035,*,
X17_zrakove_vnimani_cas_adm_sek,POR,(Intercept),321.57 (35.29),,,,
X17_zrakove_vnimani_cas_adm_sek,POR,MR,-225.02 (47.06),-4.782,< .001,*,*
X17_zrakove_vnimani_cas_adm_sek,POR,mental_age,-18.99 (4.28),-4.441,< .001,*,
X17_zrakove_vnimani_cas_adm_sek,POR,MR:mental_age,23.18 (5.74),4.037,< .001,*,
X18_zrakove_prostorove_vnimani_sum_body,DO,(Intercept),7.41 (3.01),,,,
X18_zrakove_prostorove_vnimani_sum_body,DO,MR,7.51 (4.07),1.845,.071,,
X18_zrakove_prostorove_vnimani_sum_body,DO,mental_age,1.57 (0.36),4.355,< .001,*,
X18_zrakove_prostorove_vnimani_sum_body,DO,MR:mental_age,-1.24 (0.49),-2.537,.014,*,
X18_zrakove_prostorove_vnimani_sum_body,VE,(Intercept),14.73 (4.35),,,,
X18_zrakove_prostorove_vnimani_sum_body,VE,MR,3.59 (6.17),0.582,.563,,
X18_zrakove_prostorove_vnimani_sum_body,VE,mental_age,0.74 (0.50),1.472,.147,,
X18_zrakove_prostorove_vnimani_sum_body,VE,MR:mental_age,-0.83 (0.71),-1.159,.252,,
X18_zrakove_prostorove_vnimani_sum_body,KOD,(Intercept),12.73 (2.20),,,,
X18_zrakove_prostorove_vnimani_sum_body,KOD,MR,4.28 (2.88),1.487,.143,,
X18_zrakove_prostorove_vnimani_sum_body,KOD,mental_age,0.80 (0.26),3.071,.003,*,
X18_zrakove_prostorove_vnimani_sum_body,KOD,MR:mental_age,-0.73 (0.35),-2.111,.040,*,
X18_zrakove_prostorove_vnimani_sum_body,PO,(Intercept),6.71 (3.79),,,,
X18_zrakove_prostorove_vnimani_sum_body,PO,MR,10.37 (5.25),1.975,.054,,
X18_zrakove_prostorove_vnimani_sum_body,PO,mental_age,1.63 (0.44),3.702,< .001,*,
X18_zrakove_prostorove_vnimani_sum_body,PO,MR:mental_age,-1.57 (0.61),-2.573,.013,*,
X18_zrakove_prostorove_vnimani_sum_body,ŘO,(Intercept),10.89 (2.02),,,,
X18_zrakove_prostorove_vnimani_sum_body,ŘO,MR,3.37 (2.68),1.257,.214,,
X18_zrakove_prostorove_vnimani_sum_body,ŘO,mental_age,1.09 (0.21),5.064,< .001,*,*
X18_zrakove_prostorove_vnimani_sum_body,ŘO,MR:mental_age,-0.71 (0.29),-2.460,.017,*,
X18_zrakove_prostorove_vnimani_sum_body,POČ,(Intercept),8.17 (4.49),,,,
X18_zrakove_prostorove_vnimani_sum_body,POČ,MR,4.42 (6.03),0.733,.467,,
X18_zrakove_prostorove_vnimani_sum_body,POČ,mental_age,1.49 (0.57),2.595,.012,*,
X18_zrakove_prostorove_vnimani_sum_body,POČ,MR:mental_age,-0.84 (0.77),-1.086,.282,,
X18_zrakove_prostorove_vnimani_sum_body,KOS,(Intercept),11.28 (3.15),,,,
X18_zrakove_prostorove_vnimani_sum_body,KOS,MR,-0.82 (3.80),-0.215,.830,,
X18_zrakove_prostorove_vnimani_sum_body,KOS,mental_age,0.99 (0.41),2.429,.019,*,
X18_zrakove_prostorove_vnimani_sum_body,KOS,MR:mental_age,-0.00 (0.50),-0.005,.996,,
X18_zrakove_prostorove_vnimani_sum_body,SLO,(Intercept),10.27 (3.69),,,,
X18_zrakove_prostorove_vnimani_sum_body,SLO,MR,0.03 (5.20),0.006,.995,,
X18_zrakove_prostorove_vnimani_sum_body,SLO,mental_age,1.17 (0.46),2.547,.014,*,
X18_zrakove_prostorove_vnimani_sum_body,SLO,MR:mental_age,-0.25 (0.65),-0.385,.702,,
X18_zrakove_prostorove_vnimani_sum_body,POR,(Intercept),9.71 (2.74),,,,
X18_zrakove_prostorove_vnimani_sum_body,POR,MR,6.14 (3.66),1.680,.099,,
X18_zrakove_prostorove_vnimani_sum_body,POR,mental_age,1.24 (0.33),3.735,< .001,*,
X18_zrakove_prostorove_vnimani_sum_body,POR,MR:mental_age,-1.02 (0.45),-2.291,.026,*,
X19_orientace_v_prostoru_sum_body,DO,(Intercept),6.61 (6.18),,,,
X19_orientace_v_prostoru_sum_body,DO,MR,15.92 (8.31),1.916,.061,,
X19_orientace_v_prostoru_sum_body,DO,mental_age,3.36 (0.74),4.561,< .001,*,
X19_orientace_v_prostoru_sum_body,DO,MR:mental_age,-2.64 (1.00),-2.652,.011,*,
X19_orientace_v_prostoru_sum_body,VE,(Intercept),31.87 (10.08),,,,
X19_orientace_v_prostoru_sum_body,VE,MR,0.49 (14.31),0.034,.973,,
X19_orientace_v_prostoru_sum_body,VE,mental_age,0.24 (1.17),0.210,.835,,
X19_orientace_v_prostoru_sum_body,VE,MR:mental_age,-0.72 (1.65),-0.435,.665,,
X19_orientace_v_prostoru_sum_body,KOD,(Intercept),10.08 (4.44),,,,
X19_orientace_v_prostoru_sum_body,KOD,MR,22.49 (5.81),3.872,< .001,*,
X19_orientace_v_prostoru_sum_body,KOD,mental_age,2.87 (0.53),5.445,< .001,*,*
X19_orientace_v_prostoru_sum_body,KOD,MR:mental_age,-3.42 (0.70),-4.906,< .001,*,*
X19_orientace_v_prostoru_sum_body,PO,(Intercept),-2.71 (7.38),,,,
X19_orientace_v_prostoru_sum_body,PO,MR,27.90 (10.22),2.730,.009,*,
X19_orientace_v_prostoru_sum_body,PO,mental_age,4.11 (0.86),4.793,< .001,*,*
X19_orientace_v_prostoru_sum_body,PO,MR:mental_age,-3.75 (1.19),-3.148,.003,*,
X19_orientace_v_prostoru_sum_body,ŘO,(Intercept),10.95 (4.26),,,,
X19_orientace_v_prostoru_sum_body,ŘO,MR,16.33 (5.56),2.936,.005,*,
X19_orientace_v_prostoru_sum_body,ŘO,mental_age,2.72 (0.46),5.886,< .001,*,*
X19_orientace_v_prostoru_sum_body,ŘO,MR:mental_age,-2.60 (0.60),-4.317,< .001,*,
X19_orientace_v_prostoru_sum_body,POČ,(Intercept),8.69 (10.64),,,,
X19_orientace_v_prostoru_sum_body,POČ,MR,18.86 (14.21),1.327,.190,,
X19_orientace_v_prostoru_sum_body,POČ,mental_age,2.85 (1.36),2.102,.040,*,
X19_orientace_v_prostoru_sum_body,POČ,MR:mental_age,-2.75 (1.82),-1.514,.136,,
X19_orientace_v_prostoru_sum_body,KOS,(Intercept),14.01 (6.81),,,,
X19_orientace_v_prostoru_sum_body,KOS,MR,9.95 (8.21),1.213,.231,,
X19_orientace_v_prostoru_sum_body,KOS,mental_age,2.20 (0.88),2.496,.016,*,
X19_orientace_v_prostoru_sum_body,KOS,MR:mental_age,-1.60 (1.08),-1.487,.143,,
X19_orientace_v_prostoru_sum_body,SLO,(Intercept),12.42 (8.50),,,,
X19_orientace_v_prostoru_sum_body,SLO,MR,22.55 (11.99),1.881,.066,,
X19_orientace_v_prostoru_sum_body,SLO,mental_age,2.54 (1.05),2.408,.020,*,
X19_orientace_v_prostoru_sum_body,SLO,MR:mental_age,-3.38 (1.49),-2.273,.027,*,
X19_orientace_v_prostoru_sum_body,POR,(Intercept),15.34 (5.65),,,,
X19_orientace_v_prostoru_sum_body,POR,MR,19.42 (7.54),2.577,.013,*,
X19_orientace_v_prostoru_sum_body,POR,mental_age,2.02 (0.68),2.945,.005,*,
X19_orientace_v_prostoru_sum_body,POR,MR:mental_age,-2.84 (0.92),-3.092,.003,*,
